레시피_아이디,레시피_태그_순번,내용
4900066,1,#콩나물
4900066,2,#불고기
4900066,3,#콩나물불고기
4900066,4,#콩불
4900066,5,#생리불순
4900066,6,#생리가 불규칙
4900066,7,#여성호르몬
4900066,8,#피로회복
4900066,9,#생리통
4900066,10,#무월경
5060289,1,#디톡스다이어트
5060289,2,#디톡스
5060289,3,#다이어트
5060289,4,#콜레스테롤
5060289,5,#알칼리성
5060289,6,#안티에이징
5060289,7,#식이섬유
5060289,8,#노폐물배출
5060289,9,#부종완화
5060289,10,#불포화지방산
5060289,11,#당뇨예방
5060289,12,#혈액순환
5060289,13,#눈건강
5060289,14,#오리훈제
5060289,15,#오리
5060289,16,#단호박
5060289,17,#오리훈제 단호박찜
5269045,1,#꼬막
5269045,2,#양념꼬막
5269045,3,#밑반찬
5269045,4,#반찬
5269045,5,#입맛
5269045,6,#태아
5269045,7,#태교음식
5269045,8,#임신에 좋은 음식
5269045,9,#임신
5269045,10,#임산부
5269045,11,#빈혈
5397773,1,#사과
5397773,2,#깍두기
5397773,3,#사과 깍두기
5397773,4,#식이섬유
5397773,5,#변비
5397773,6,#숙변
5397773,7,#장건강
5397773,8,#장운동
5397773,9,#소화가 잘되는
5397773,10,#아이장튼튼
5771515,1,#브로콜리
5771515,2,#고구마
5771515,3,#스프
5771515,4,#고구마스프
5771515,5,#브로콜리스프
5771515,6,#호박고구마
5771515,7,#식이섬유
5771515,8,#변비
5771515,9,#변비예방
5771515,10,#변비해소
5771515,11,#숙변제거
5771515,12,#콜레스테롤
5771515,13,#장에 좋은
5771515,14,#아침식사
5771515,15,#장 건강
5913531,1,#피부미용
5913531,2,#노화방지
5913531,3,#촉촉한
5913531,4,#윤기나는
5913531,5,#꿀피부
5913531,6,#주름방지
5913531,7,#피부건강
5913531,8,#시너지
5913531,9,#토마토
5913531,10,#슈퍼푸드
5913531,11,#카레
5913531,12,#토마토카레
5913531,13,#카레만들기
6100431,1,#건새우
6100431,2,#건새우볶음
6100431,3,#칼슘보충
6100431,4,#아이장튼튼
6100431,5,#장건강
6531923,1,#연근
6531923,2,#연근전
6531923,3,#식이섬유
6531923,4,#카레
6531923,5,#카레연근전
6531923,6,#장 운동
6531923,7,#숙변제거
6531923,8,#변비
6531923,9,#변비예방
6531923,10,#건강한 장
6531923,11,#장에 좋은
6531923,12,#간식
6531923,13,#아이간식
6596777,1,#유채나물
6596777,2,#유채
6596777,3,#된장
6596777,4,#된장무침
6596777,5,#생리불순
6596777,6,#무월경
6596777,7,#생리통
6596777,8,#피로회복
6596777,9,#혈액순환
6630762,1,#오리엔탈드레싱
6630762,2,#오리엔탈
6630762,3,#양상추
6630762,4,#샐러드
6630762,5,#양상추샐러드
6630762,6,#드레싱
6630762,7,#샐러드드레싱
6630762,8,#입덧
6630762,9,#입덧완화
6630762,10,#새콤
6630762,11,#상큼
6630762,12,#헛구역질
6630762,13,#식욕
6630762,14,#기분전환
6707261,1,#들깨
6707261,2,#무
6707261,3,#들깨무국
6707261,4,#완료기 이유식
6707261,5,#이유식
6707261,6,#국
6707261,7,#아기국
6720175,1,#순두부
6720175,2,#두부
6720175,3,#버섯
6720175,4,#들깨
6720175,5,#들깨탕
6720175,6,#버섯들깨탕
6720175,7,#고단백
6720175,8,#저칼로리
6720175,9,#다이어트
6720175,10,#단백질
6720175,11,#단백질보충
6720175,12,#고단백질
6720175,13,#머슬업
6720175,14,#근육증가
6720175,15,#탄탄한몸매
6720175,16,#임신
6720175,17,#임산부
6720175,18,#피부
6720175,19,#장
6720175,20,#장운동
6720175,21,#장건강
6720175,22,#식이섬유
6720175,23,#변비
6720175,24,#변비예방
6720175,25,#태아
6720175,26,#태교음식
6720175,27,#임신에 좋은 음식
6784424,1,#피부미용
6784424,2,#콜라겐
6784424,3,#윤기나는
6784424,4,#탄력있는
6784424,5,#꿀피부
6784424,6,#활성산소
6784424,7,#촉촉한
6784424,8,#버섯
6784424,9,#들깨
6784424,10,#버섯들깨탕
6795314,1,#저칼로리다이어트
6795314,2,#저칼로리요리
6795314,3,#저칼로리
6795314,4,#저열량
6795314,5,#다이어트
6795314,6,#저지방
6795314,7,#식이섬유
6795314,8,#혈관질환
6795314,9,#항산화효과
6795314,10,#오메가3
6795314,11,#들깨
6795314,12,#표고버섯
6795314,13,#표고버섯들깨야채볶음
6800191,1,#된장
6800191,2,#시금치
6800191,3,#시금치나물
6800191,4,#나물
6800191,5,#철분이 많은
6800191,6,#칼슘
6800191,7,#빈혈
6800191,8,#빈혈예방
6800191,9,#괴혈병
6800364,1,#저칼로리다이어트
6800364,2,#저칼로리
6800364,3,#저열량
6800364,4,#다이어트
6800364,5,#나트륨배출
6800364,6,#부종완화
6800364,7,#아보카도
6800364,8,#토마토
6800364,9,#샐러드
6800364,10,#아보카도토마토샐러드
6809009,1,#닭가슴살
6809009,2,#갈비
6809009,3,#단백질
6809009,4,#고단백
6809009,5,#저지방
6809009,6,#단백질보충
6809009,7,#근육증가
6809009,8,#머슬업
6809009,9,#탄탄한몸매
6809009,10,#다이어트
6809009,11,#갈비구이
6809009,12,#다이어트요리
6809009,13,#몸짱
6813567,1,#디톡스다이어트
6813567,2,#디톡스
6813567,3,#다이어트
6813567,4,#식이섬유
6813567,5,#노폐물배출
6813567,6,#해독
6813567,7,#혈액순환
6813567,8,#안티에이징
6813567,9,#활성산소제거
6813567,10,#독소제거
6813567,11,#생식
6813567,12,#파프리카
6813567,13,#무쌈
6813567,14,#무쌈말이
6813567,15,#파프리카 무쌈말이
6828884,1,#삼치간장조림
6828884,2,#삼치
6828884,3,#집밥
6828884,4,#생선조림
6828949,1,#돼지고기
6828949,2,#생강구이
6828949,3,#덮밥
6828949,4,#쇼가야끼
6828949,5,#돼지고기덮밥
6828949,6,#생리불순
6828949,7,#무월경
6828949,8,#생리통
6828949,9,#혈액순환
6828949,10,#면역력
6828949,11,#신진대사
6828949,12,#임신이잘되는
6828949,13,#임신
6828949,14,#계획임신
6828949,15,#혈액순환 개선
6828949,16,#혈관
6828949,17,#혈관건강
6829028,1,#두부
6829028,2,#덮밥
6829028,3,#두부덮밥
6829028,4,#완료기 이유식
6829028,5,#소화가 잘되는
6829028,6,#장건강
6829057,1,#멸치
6829057,2,#주먹밥
6829057,3,#멸치주먹밥
6829057,4,#뼈째먹는생선
6829057,5,#뼈째
6829057,6,#뼈째먹는
6829057,7,#생선
6829057,8,#칼슘
6829057,9,#김
6829057,10,#이유식
6829057,11,#완료기 이유식
6829057,12,#나들이
6829057,13,#도시락
6829057,14,#어린이집도시락
6829107,1,#달걀
6829107,2,#계란
6829107,3,#탈모
6829107,4,#두피
6829107,5,#모발
6829107,6,#건선
6829107,7,#비듬
6829107,8,#지루성피부염
6829107,9,#모발건강
6829107,10,#두피건강
6829107,11,#머릿결
6829107,12,#덮밥
6829107,13,#계란덮밥
6829513,1,#표고버섯
6829513,2,#칼슘
6829513,3,#빈혈
6829513,4,#철분보충
6829513,5,#식이섬유
6829513,6,#변비
6829513,7,#산후다이어트
6829513,8,#표고버섯덮밥
6829513,9,#산모에게 좋은 음식
6829513,10,#덮밥
6829843,1,#매생이
6829843,2,#매생이국
6829843,3,#완료기 이유식
6829843,4,#성장발육
6829981,1,#꽁치통조림
6829981,2,#꽁치
6829981,3,#뼈째먹는생선
6829981,4,#뼈째
6829981,5,#생선
6829981,6,#고칼슘
6829981,7,#칼슘
6829981,8,#칼슘보충
6829981,9,#뼈건강
6829981,10,#뼈튼튼
6829981,11,#골다공증
6829981,12,#성장발육
6829981,13,#피로회복
6829981,14,#백종원
6829981,15,#백종원 꽁치조림
6829981,16,#일본식 꽁치조림
6829981,17,#꽁치조림
6830683,1,#배추김치
6830683,2,#배추
6830683,3,#김치
6830683,4,#김치만드는법
6830683,5,#변비
6830683,6,#대장암
6830683,7,#장건강
6830683,8,#아이장튼튼
6831097,1,#연어
6831097,2,#간장조림
6831097,3,#간장
6831097,4,#연어조림
